# Lumonisity distance data with evaluation of validity of instrumental response (i.e. which data is to be discarded)
# Observation	Distance(Mpc)	Valid Instrument Response
15475	291.6894	1
33467	337.8470	1
12314	240.6233	1
42652	257.0895	1
48608	254.7675	1
38265	345.8201	0
22582	271.2279	1
43595	178.7654	1
18539	387.9534	0
34850	178.1076	1
37606	378.7377	1
16940	412.9541	1
48799	276.6277	1
24486	152.3302	1
39135	276.0034	1
30102	332.0614	1
11119	257.7066	1
10922	170.4851	1
15621	377.0000	0
27523	191.6461	1
11283	278.8995	1
28999	282.9899	0
44739	255.4698	1
33527	342.2967	1
23475	293.2029	0
37770	238.3325	1
11623	283.6848	1
34189	206.3503	1
39821	166.4569	1
13771	182.0028	1
